# equation of state: birch 3rd order.  chisq =   0.7363D-11
# V0 =  177.91 a.u.^3,  k0 = 2998 kbar,  dk0 =  4.12  d2k0 = -0.001  emin = -148.56508
# V0 =   26.36  Ang^3,  k0 = 299.8 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  159.30    -148.54113    -148.54113    -0.00000      41.60     -148.09062
  162.84    -148.54994    -148.54995     0.00001      31.85     -148.19734
  166.38    -148.55654    -148.55654    -0.00000      23.07     -148.29561
  169.92    -148.56112    -148.56112    -0.00000      15.15     -148.38610
  173.46    -148.56389    -148.56389     0.00000       8.01     -148.46945
  177.00    -148.56503    -148.56503    -0.00000       1.56     -148.54625
  180.54    -148.56469    -148.56469     0.00000      -4.26     -148.61701
  184.08    -148.56302    -148.56302     0.00000      -9.52     -148.68220
  187.62    -148.56015    -148.56015    -0.00000     -14.28     -148.74226
  191.16    -148.55619    -148.55619    -0.00000     -18.58     -148.79757
  194.70    -148.55124    -148.55124     0.00000     -22.46     -148.84848
